pageid,num_links_in,num_images,num_links_out,num_categories,num_references,num_words
1246843,460,22,607,64,732,96298
1973,6456,24,1454,22,169,95050
48728,1133,16,395,33,199,95833
44534,1452,33,973,55,164,100662
14458973,174,22,648,11,80,101858
221708,458,11,357,11,32,101505
504379,1884,73,1100,27,57,99932
33994467,15,0,51,4,17,99284
44471459,90,34,5840,2,2,96063
7418510,12,0,1909,5,2,100062
18839,6715,61,1154,24,79,96673
3567893,2116,3,2517,4,19,101762
297809,15944,60,1061,39,61,96458
221400,64,13,122,14,4,101883
21067650,17,3,34,1,7,101142
18987,15680,152,1384,52,222,98110
7921,1050,21,237,8,18,99385
1814362,582,104,1540,17,160,95359
31655,667,22,398,14,211,98786
55271716,1,36,587,8,476,97359
29030725,3,2,27,3,11,99320
85234,1068,32,731,43,188,89262
18081,14742,90,1397,33,311,90587
8133,3438,30,901,20,70,89780
15051,1236,137,974,29,677,88458
31162817,677,32,531,67,593,94527
7271,2577,19,773,54,23,88970
13485,894,29,1083,15,47,88041
12925855,12,4,954,27,25,92396
26714,5681,279,1453,8,37,87962
29265,42434,113,1566,44,375,91001
8687,17250,78,860,42,328,92475
103443,3989,49,899,28,203,94001
3414021,14044,76,1575,98,789,88680
15992,6031,52,1957,80,448,89432
25441497,115,3,135,10,14,88568
42475403,14,6,93,6,59,89181
92656,3344,112,961,45,605,94109
7723686,223,29,334,8,27,91165
38483,1702,53,818,26,105,92326
417021,699,55,597,7,22,89124
263261,786,19,245,35,87,91069
15941,2263,36,1416,75,107,94079
277006,543,20,491,24,53,91853
21073732,3053,47,1204,44,107,91201
148594,152,6,126,3,34,92259
13904,1743,51,984,19,91,90083
21090338,87,53,717,7,5,90054
2711369,330,15,592,7,80,88964
46284800,597,80,956,24,161,88183
675561,1023,46,791,39,413,89569
6299613,1150,39,840,39,518,89728
2632114,3399,46,732,33,187,89050
59962,216,10,179,3,30,92067
43373,2810,24,1175,87,273,88577
62654,1046,25,574,19,114,83691
15872,2318,33,845,82,239,82833
51320,1576,34,1222,10,127,86387
32073,2205,65,548,35,329,80681
143377,234,26,249,53,110,84567
29023680,138,25,751,14,233,86866
2989409,24,0,39,1,10,86054
48722130,89,18,214,17,214,82882
66592,1433,29,548,65,102,85810
606848,28704,69,2339,26,315,83127
5405,99136,140,1901,50,578,85397
11962112,62,3,1853,4,52,80813
30876071,190,9,144,2,51,85196
20519569,11,5,70,6,4,85929
14941202,100,99,1418,5,4,80742
525160,773,9,658,34,22,86374
66256,127,14,120,17,62,80385
1660277,2640,26,915,37,596,80364
53107,3534,50,1923,22,49,86135
35719627,3,3,363,15,276,85283
25423,47896,48,1327,26,161,81375
1178438,34,5,28,11,37,84218
32927,130870,73,1408,99,161,81905
1757165,135,9,309,21,338,85355
62896,1244,35,1009,56,155,85826
95214,2880,21,364,10,12,83869
25101,13000,115,1852,36,336,82654
280738,1306,23,732,42,68,81950
4020775,1289,39,644,42,152,86382
42142305,352,29,407,33,403,85160
26902061,303,21,360,45,331,82840
44440022,9,24,331,9,85,85981
31602166,91,6,144,15,139,80885
33135,1248,11,526,34,147,83396
364285,641,3,2158,5,1,86325
25263739,27,2,123,3,213,80371
102446,689,19,671,39,57,82979
29266,960,13,1448,25,166,84752
6887017,32,7,294,18,8,71153
48417107,410,2,661,9,190,68894
21221606,1082,34,564,17,163,72193
159225,176,6,135,5,23,66004
21441842,8,12,317,7,3,69681
252534,462,62,306,33,49,72377
85754,389,12,281,7,16,67226
69328,16828,84,823,34,403,67079
1111684,306,28,579,22,71,72856
35981249,765,39,359,7,99,67109
872,1406,40,872,54,89,69895
523329,82,21,272,16,13,71270
24894509,106,10,474,24,52,71035
75899,751,25,724,30,88,69500
18203,334,4,196,18,72,66066
1726029,506,13,343,5,87,71115
43206,2089,40,797,28,59,67330
8687911,30,9,57,2,7,68016
4339,7539,40,1375,18,107,66966
36765013,2,0,36,1,4,66958
44240,1733,42,585,60,53,70807
18938265,1133,11,667,56,268,66611
13461936,14,4,27,2,1,68071
52847,3882,28,687,15,100,70134
15476854,78,6,150,3,17,71905
18853459,163,1,191,5,48,68924
17349356,1456,51,645,20,421,72372
76762,14944,60,843,50,192,70703
404829,600,48,777,21,247,71602
25000433,21,19,174,3,27,65931
7875958,244,26,317,14,459,71555
208827,707,22,381,13,46,69371
77667,1537,38,672,7,20,67790
34678382,15,12,282,21,80,67129
45337,357,3,246,7,23,71229
1800772,816,29,617,28,99,68384
18934,4750,42,1365,58,247,68491
15942,1492,28,874,75,203,71687
19167679,2613,34,630,17,400,68033
30253888,326,22,388,14,376,69320
1348067,208,24,216,7,75,66972
527847,52,2,1041,11,17,71245
113453,1085,71,582,27,101,71419
43223,1397,12,1130,54,237,70640
93428,736,28,841,18,185,67385
314101,325,52,570,10,112,70505
14561,638,25,1022,35,116,72452
3874731,548,29,526,9,127,65647
12386,599,31,422,14,82,70097
16321,904,24,720,62,119,68335
45694879,178,10,289,24,288,66916
43675,2358,21,1088,60,113,67290
97509,798,29,451,51,56,67699
621328,99,23,200,8,4,69823
356777,2884,19,578,18,267,71450
878854,24,230,445,6,128,67800
265778,259,12,477,47,213,65889
22614,2780,37,561,72,89,69237
8484783,400,18,393,47,224,68867
28086000,21,6,435,17,78,72349
18895385,77,20,295,14,103,69099
22163753,587,5,913,15,213,72090
170808,211,16,71,9,17,114821
14889,2160,81,1284,55,184,169887
391488,344,55,418,40,59,114479
17627721,46,13,275,8,4,116219
33265,7309,63,2102,132,232,125409
23805,7108,50,1891,105,407,111939
32434421,3,2,3542,4,3,134138
782741,871,7,509,32,365,131314
24999219,158,27,676,18,354,114155
18285325,335,36,1098,27,710,162103
6453527,31,0,68,2,24,241865
31429503,2,3,3612,4,3,136434
771,10444,68,1423,31,252,106812
11843604,262,4,1100,20,350,386429
9288,6956,40,786,72,138,110197
19527,3425,54,1388,88,173,105799
43689031,387,0,868,12,5,157374
409566,502,43,1456,5,7,253990
803894,61,3,102,8,16,126972
47099786,18,70,335,3,4,113614
3089277,78,85,591,10,477,127071
3266013,248,31,717,18,83,106178
2525549,49,2,135,4,4,102830
20855562,742,40,698,38,591,125196
1234508,34,5,745,20,76,139326
30654,1193,30,257,6,27,107745
6295613,60,53,555,4,640,118560
56017314,2,7,126,5,81,103130
13306,824,37,1170,22,113,103870
17820,2069,63,798,12,44,111132
31358910,105,143,1825,2,17,108788
15342038,425,0,974,14,14,152198
43633857,384,0,908,15,8,162039
3177125,34,63,180,15,68,113907
780188,108,38,313,39,45,102269
3072809,403,7,1201,9,23,116791
4922019,181,3,625,8,6,144440
46662125,22,12,491,10,126,107301
8799338,9,2,2996,10,80,121797
5119376,8101,93,2299,75,223,107646
173547,58,4,103,5,37,139142
17862,796,28,601,69,125,102552
160760,1465,21,600,110,236,76329
507399,908,20,1229,11,65,78079
92402,3342,48,1164,30,177,79231
39912374,1141,15,595,66,218,78345
210710,800,51,1029,26,176,73081
33186,1714,34,925,22,49,74448
33589,2475,33,819,46,564,78742
2457206,892,74,1566,22,500,79268
89988,1487,34,1164,80,112,75062
66964,4789,36,899,24,113,73096
870044,32,2,31,4,11,75001
111582,2006,17,796,77,154,77641
4283766,68,34,370,4,405,78369
150209,429,6,563,53,128,78357
27630477,510,24,400,45,289,74555
76972,58296,89,1745,49,261,78630
97404,1863,85,773,52,337,78822
31737,10478,42,1171,25,276,78749
594,2712,43,1286,33,93,73838
25272709,15,3,99,4,198,75493
15123,1117,36,480,25,354,78280
52233943,180,7,500,12,326,79272
41831802,2,34,204,6,2,77035
19872006,104,1,1106,5,8,76027
18154,276,3,301,11,13,75757
7116046,2333,26,694,23,98,77773
339841,1702,22,1442,28,390,75117
8868062,34,1,69,5,120,75009
619761,750,30,686,33,653,76799
32905,13091,61,1067,37,277,74631
412059,156,20,318,29,59,79501
4349459,14185,78,1220,29,482,79204
36808,2169,53,637,16,152,73154
36218417,8,4,15,12,2,75721
49728,25563,78,1532,30,397,78303
20405,3277,27,733,73,88,74450
16408009,18,1,63,5,2,74855
65064,785,12,559,49,244,74267
2615708,387,12,398,41,704,79440
43337801,1,2,408,11,1,74759
2194173,946,14,464,13,71,76851
16578,415,33,429,49,41,75958
33277,1819,61,804,63,78,77747
42004317,22,22,287,5,8,77254
24102656,726,12,459,44,81,74728
573822,226,19,719,20,37,77401
15766,2986,20,737,84,180,75954
7739570,22,0,40,4,3,78832
26589,2679,25,537,32,190,79619
16949861,11782,88,1442,42,160,78284
43449,2889,51,803,21,47,73567
55791,1116,17,798,21,164,76942
60192,3955,25,1209,81,324,75085
15378788,229,36,753,10,59,75273
49121,10159,83,1202,26,393,79602
11003095,72,43,369,43,139,76625
1327701,27,6,91,4,75,78708
26061,25490,123,1391,30,173,78974
15524,634,14,589,44,164,74974
48768,21462,73,981,52,294,75025
10935907,252,141,1113,12,286,79826
158986,255,53,1202,17,184,79808
20155503,40,15,149,16,128,59145
102383,860,33,443,31,111,60337
324222,1638,39,417,30,47,65035
7954643,4876,56,907,31,300,60249
36377373,2,0,14,2,20,59346
72866,3129,37,742,17,76,65354
25784,3082,52,913,17,247,65333
6861578,5,45,515,11,23,64161
4429395,3986,25,1236,55,377,62025
172111,433,27,261,35,129,63701
1071653,122,4,235,4,13,58832
158267,318,38,333,18,35,65383
177765,862,13,856,12,138,63039
13567676,26,31,329,9,57,59917
23090816,6,2,87,2,163,61464
5829721,81,4,44,13,14,64234
1557634,125,7,213,12,1,63359
391324,1917,41,1477,45,345,60063
481130,6613,17,566,6,86,62271
52024,497,32,509,24,126,58907
3524766,60900,121,1181,55,512,62104
147726,2297,27,1826,81,298,62315
795071,252,49,609,44,142,60405
2116,504,13,488,11,68,58480
32005,8769,51,801,29,200,59693
19318,2249,37,468,55,82,60178
6325873,458,17,515,43,279,64660
17454,9950,94,1110,23,143,62933
20320,267,33,259,26,107,63131
57851,4175,81,782,26,111,64810
72243,91515,6,508,29,62,63201
769016,732,131,701,10,44,64798
1669998,1047,27,689,22,219,62247
74097,488,23,318,47,82,58655
703940,55,22,219,31,30,65384
1630627,51,18,123,8,77,59796
393593,432,17,383,31,246,64802
34340,2307,51,1086,41,254,62080
161139,457,7,441,14,172,63722
36511,16892,82,1212,35,186,61102
52760867,60,0,1016,4,1,59341
28613119,306,4,191,22,213,61447
26905,1513,28,562,14,41,59496
162688,840,18,907,18,200,58928
57845,5830,64,1068,28,123,60344
2269697,1403,15,480,11,64,63605
27071,1902,28,601,40,122,62767
713949,273,22,346,17,129,63871
45399040,2,1,911,2,4,61421
19606306,1916,47,756,44,109,62044
3208634,12,68,651,11,299,61902
37765,6839,27,886,38,298,59461
42780592,2,3,37,8,1,58663
7517565,43,12,380,9,72,59302
3505712,525,30,455,21,228,63234
55796083,22,8,267,27,124,65285
38894501,179,28,389,4,140,60615
37423368,1334,52,771,82,424,60967
3272427,60,42,82,5,28,62554
27687,8132,115,1195,26,156,62902
32668390,277,27,295,31,72,64382
5583441,502,6,412,13,97,64508
45474,889,34,538,18,197,61774
21883857,19714,69,1152,33,211,62018
56978,2084,39,747,21,40,59684
41668588,445,15,601,42,479,63697
100582,8815,60,1113,34,123,59589
48972510,397,8,558,8,1,60429
20905,649,21,407,48,247,65098
2198844,7059,127,1021,25,55,62676
25160837,102,3,404,14,206,59828
538391,82,4,99,5,10,60306
4683002,130,3,179,12,41,58606
18538,2309,57,891,32,183,61993
20622,2837,27,552,34,62,63485
21825423,965,25,666,63,133,59472
4131402,435,19,709,27,216,64778
366061,64,11,302,26,20,30349
27417613,4,30,721,7,2,29491
305917,1907,5,389,7,23,31150
157232,2179,71,496,16,65,32356
69802,1825,52,482,17,46,29358
264105,2141,23,479,30,66,35686
81456,734,12,494,48,40,36330
9955,154,9,115,11,46,30195
377606,880,11,757,13,45,29982
5785,3204,14,680,30,20,36064
21184,13062,39,906,32,95,34291
32227599,106,8,234,15,22,33146
23219544,34,4,127,7,115,30869
140469,94,13,227,17,28,32563
51510,2472,46,676,23,137,31801
9933726,30,5,40,9,7,29586
32642,131,7,276,16,31,34809
219640,1063,30,449,11,94,31385
216849,539,4,580,9,30,33551
94158,27,6,28,5,9,31844
424928,427,21,614,4,8,29349
23275402,1283,15,422,10,70,31518
869945,2921,16,315,13,23,33767
8817404,10,6,88,14,7,35101
24536543,2011,24,1464,18,241,34179
30555,1239,27,261,28,72,36243
24511019,230,32,314,6,120,32966
234842,356,11,293,9,74,29610
3437663,208,2,188,19,102,30747
350072,240,4,110,6,85,29861
80028,544,13,222,17,46,33798
1505381,297,12,271,9,121,29544
2046288,42,9,104,13,29,33657
55032,25,8,272,2,5,34773
4121869,48,13,211,13,60,33673
125176,935,32,357,22,154,34033
219056,225,1,220,20,88,29849
5962511,551,19,256,35,339,29313
11793227,92,32,258,9,67,34223
232847,551,39,309,59,150,31378
58586,1209,8,293,64,76,35624
14187933,16,24,172,29,35,31937
7893,838,16,1127,37,70,36170
21836,2569,17,631,19,106,31220
329949,408,21,132,13,55,32922
195552,87,6,304,7,59,30051
364934,437,13,340,28,241,36122
17939402,17,3,47,11,163,36379
10091322,36,11,277,18,35,35830
32220228,96,14,379,10,331,29917
170029,689,11,343,36,136,35860
786545,6204,31,497,17,21,35956
1774390,190,5,486,16,20,33967
1485652,192,5,218,11,11,31904
409855,306,33,288,16,80,34829
147748,350,65,303,51,49,33555
47762,294,28,296,24,105,34470
9164577,32,3,43,6,6,29534
1540309,223,15,344,12,39,30666
194896,155,9,327,13,61,31608
70718,648,29,356,43,57,34607
32623,1373,35,544,17,116,32822
37009650,111,2,473,4,8,33251
80027,1044,7,303,34,152,33841
286458,2289,2,368,13,20,31657
2845579,126,3,157,23,17,30427
8613,1228,7,273,23,70,32652
964717,490,7,506,26,74,33714
16692,125,22,325,18,37,32620
332248,1236,53,823,16,52,30790
576969,125,8,116,31,7,33864
23362908,1053,25,359,43,51,35930
1803489,323,5,411,25,107,30621
30307259,1310,43,851,41,48,33704
21049733,275,18,172,7,1,31892
32096,306,7,399,8,34,29541
1202355,1227,18,307,5,90,29242
157302,436,11,380,16,59,30925
193684,277,17,277,10,19,31294
6082436,215,8,341,4,77,31582
125436,811,16,613,17,180,30106
620602,327,18,310,16,7,34241
10286612,23,5,65,9,3,34320
186797,758,9,484,47,150,31555
277310,252,5,171,42,22,34000
22210561,128,8,230,6,48,30601
7950181,92,0,111,3,9,35152
844184,926,19,499,17,25,30320
35843293,15,2,74,20,63,31109
325831,138,23,130,7,22,31620
65133,223,13,199,39,166,32650
176316,1309,7,610,64,83,35851
56101,578,3,232,9,41,31270
163382,405,12,362,30,57,31523
37476190,52,8,94,19,86,29292
31717023,112,61,868,13,601,33440
97774,178,14,175,19,36,30674
127894,2738,42,620,19,70,31602
238677,390,11,286,33,215,30351
89442,913,32,628,9,13,29869
566647,629,4,335,6,46,33171
579570,677,30,478,35,264,35419
1225426,98,14,262,3,49,36402
23488052,252,68,305,13,107,31912
32122390,4,3,8,17,113,33647
4704229,2327,6,500,49,156,34061
1300409,260,7,309,24,5,35888
3170723,107,2,109,5,1,29604
18736289,119,8,249,28,59,32530
2275412,228,2,359,6,15,33010
6589,497,6,305,19,92,35289
160434,527,24,439,22,111,33857
40566,1828,34,711,17,33,31920
171325,864,15,416,17,20,30246
324,6720,21,511,23,202,35405
447089,100,5,521,14,22,30754
1620297,61,14,277,30,124,29721
269046,170,12,213,41,44,33279
7166373,155,0,221,4,323,33302
38072719,91,0,784,6,45,32154
14937814,327,6,589,13,56,32891
1804336,570,9,240,14,29,29760
43331629,39,44,267,23,59,30122
50310081,102,21,457,5,90,33945
19642082,24,8,601,13,95,35322
41592580,19,3,165,14,126,29430
22796,1504,82,696,30,87,31290
11962266,46,0,132,6,32,29369
142154,685,49,370,24,40,30279
29542497,5,9,408,8,26,33186
136960,793,27,508,15,46,31528
166163,1328,17,674,45,177,35889
3397169,82,4,133,7,48,9026
19194236,37,5,70,14,15,11059
204283,415,8,117,47,29,13303
3888092,58,4,62,20,18,11005
33031496,45,0,61,4,23,7475
2412780,7231,1,53,4,28,8879
27586261,501,10,576,20,39,8272
25012037,82,6,175,10,25,11153
2892481,29,5,80,15,18,13575
5789543,128,1,169,4,3,10469
36246766,71,3,103,23,52,11112
13514560,142,4,135,22,25,14213
26848243,106,0,138,15,15,8698
30414731,68,7,113,10,20,14284
2083285,1,2,90,8,1,9007
9286738,47,6,65,8,40,9182
1602349,710,11,237,17,26,9180
1816178,22,3,54,23,27,8007
100385,473,2,265,30,22,11824
1911160,76,2,111,26,62,8014
39066698,99,6,127,24,57,14095
33831345,39,7,56,5,5,9875
191273,17,4,93,8,4,12173
1131625,17,2,48,22,16,10957
46241959,12,1,29,2,3,13600
2871603,153,3,183,50,53,11857
578712,48,10,165,10,70,12224
154245,536,9,400,16,10,7931
4871845,30,10,118,10,11,8867
187337,63,8,86,8,13,11343
35337618,18,3,17,3,17,14177
29617833,16,1,26,3,9,9985
30597047,8,3,54,15,21,9496
241267,515,5,286,14,23,13473
40417489,69,2,76,15,45,9864
40508,263,8,212,7,13,11086
2395833,157,4,161,25,32,9263
501798,72,6,163,20,19,8201
1340309,139,12,442,37,17,12418
2089,720,8,292,9,20,12461
134583,320,5,254,8,15,8655
290189,265,9,88,4,18,7677
44785986,64,4,448,5,536,8408
44994160,25,0,66,4,40,12435
7776179,5,2,74,9,9,9090
30806858,65,0,206,8,5,10806
1193095,331,9,212,8,27,10699
48994238,9,2,48,8,6,11995
32560864,272,8,273,4,10,9038
25977139,52,6,160,7,38,8187
2527229,142,3,159,5,62,13104
161091,355,7,164,32,69,13381
591604,388,3,164,11,38,11369
10072598,15,2,40,15,67,9645
4532448,84,7,104,9,22,7466
33775893,15,3,24,12,1,8609
2293506,140,7,220,27,59,10343
15037096,331,14,258,15,17,7953
49438681,1,15,161,5,11,7453
572939,301,5,88,7,2,11515
1251648,13,2,39,8,5,7714
33548913,4,7,57,18,12,7660
13497621,9,7,123,14,12,10151
3018837,129,9,263,15,15,8310
2692172,65,3,62,18,28,10152
1108893,2215,120,744,8,12,8849
59806,31,2,106,9,5,7685
3655443,80,8,118,16,28,7782
35643332,80,1,96,11,32,7756
6181660,158,9,225,7,6,11188
25645497,149,8,160,6,37,8084
105697,534,9,149,10,18,11855
232863,920,16,616,28,38,12456
37280522,9,2,38,20,43,8328
23468778,20,0,78,28,32,12306
22944399,281,1,400,10,15,7456
12573166,96,2,79,6,38,10773
22117825,152,2,256,7,4,12411
827225,115,8,89,8,56,7866
44509739,352,2,521,2,21,7657
20379729,21,0,31,4,4,9770
50547541,8,15,34,8,28,11420
654162,118,2,137,6,7,7910
745853,19,1,22,9,7,9837
40538740,38,1,55,10,13,11576
3362317,96,0,137,23,20,10580
2088125,186,5,92,30,39,8818
20647396,7,1,37,2,41,9050
2505145,70,3,83,2,5,13676
24526226,17,5,23,20,29,8639
183610,51,2,68,15,3,9261
122822,417,5,262,7,18,8451
37910618,8,1,34,15,3,11576
628811,68,5,107,12,34,9796
933137,85,1,97,6,4,11573
9882330,68,17,68,4,11,7736
2048467,175,3,164,31,32,8900
44527235,899,17,369,11,48,7981
4342107,120,1,121,22,23,10529
6262423,231,2,195,15,16,13818
5289760,20,15,76,26,18,7408
149369,1355,22,494,10,57,12849
5063128,420,9,426,7,12,7497
5995136,42,12,67,5,31,12919
805891,620,2,396,20,31,13879
25389526,292,4,346,9,44,8835
34780788,14,4,57,17,12,7751
1915347,30,2,42,11,6,12036
959907,286,4,79,19,5,9340
376818,773,15,346,10,55,14188
42678054,27,3,97,11,43,8798
1339238,41,4,52,13,3,7469
4018311,9,2,20,7,1,7604
7026804,49,0,63,2,4,7472
26874,285,7,233,9,27,14355
22663901,12,3,16,5,2,8063
890687,76,2,92,17,15,9567
17343590,9,3,24,14,35,11635
3234715,101,0,100,9,6,10776
47524633,12,0,16,13,19,8105
35824191,134,9,194,6,5,13614
3816801,561,7,615,24,34,7496
21406281,36,11,120,11,7,11431
17206737,151,13,459,11,122,13136
47939619,5,9,67,25,3,11090
15975,156,6,127,11,21,9701
6765187,468,2,770,13,7,10235
370368,184,14,181,12,36,9295
1739180,31,0,33,24,17,13980
1303295,136,6,168,21,9,8512
11465552,82,14,125,13,11,11825
34303868,94,5,110,11,10,8567
113933,2447,34,385,27,86,36679
35701370,5,20,355,2,2,37331
628782,5967,57,874,22,137,43370
35998553,133,0,121,4,13,41050
27005455,2397,12,715,47,282,42014
184170,201,60,289,36,67,39155
5052533,2222,45,896,91,114,42558
14477322,102,6,196,9,18,39775
13684,1500,29,981,68,82,38746
29711529,55,1,190,10,136,38167
23470968,67,34,3110,2,2,39600
16924903,58,7,384,6,3,39474
300279,307,10,660,71,143,42229
20384579,80,55,150,6,79,37253
26857471,345,3,353,19,183,39083
33476103,431,20,481,9,24,40291
24189541,246,7,291,13,115,42115
83620,708,26,306,12,2,42302
1008284,190,13,318,23,65,40060
99959,1013,16,423,46,82,43034
37364982,481,23,658,8,141,38221
655221,282,15,404,18,45,39335
29684300,565,33,453,51,33,41964
78023,6257,10,457,13,109,38391
145325,1185,27,332,80,99,40690
16354915,40,7,169,14,28,37126
156858,930,13,410,18,112,40480
5405088,470,11,523,11,26,41200
265083,7157,45,557,29,72,36498
2746666,67,8,177,12,20,38027
143914,1244,74,711,22,88,37375
3844691,391,16,428,38,180,40394
158079,1106,8,493,42,601,43553
1133844,739,155,825,16,234,39959
63816,1376,39,598,23,144,41050
761462,122,12,166,35,12,40953
3344863,65,15,123,1,63,39638
64610,931,19,323,49,178,37958
384676,112,7,128,24,54,36716
24589,919,22,459,31,69,42209
97831,3862,23,810,19,59,41579
27497535,348,17,341,12,19,37908
884607,1870,8,834,32,223,43441
151051,1659,29,549,19,153,41739
14078934,13,2,47,7,99,36922
30717904,34,12,79,4,63,41629
22514299,9,4,45,4,2,39902
759317,1785,40,548,12,143,40986
505833,361,39,379,24,177,41156
400103,181,11,229,21,31,39402
525737,613,204,603,12,24,41837
40480187,22,1,186,20,30,41972
207655,134,8,236,13,45,37197
320965,2765,36,650,33,61,43647
36078060,225,21,332,22,32,42324
15361,1814,21,348,23,130,39894
108243,1669,37,858,28,82,38420
3099417,1279,17,349,23,21,38404
46823,2876,43,689,72,65,41308
1495667,309,7,328,10,59,42072
62682,899,20,911,43,223,37114
6173299,203,1,257,8,29,40081
893219,3212,149,617,41,231,40189
1175257,352,61,340,4,16,42329
344859,926,3,249,23,27,37024
256925,2129,30,586,7,64,37749
2067,5118,43,628,17,267,38129
2065634,539,15,532,10,172,41161
917941,627,20,364,23,63,39531
712828,693,4,625,18,33,37913
607552,805,17,740,18,14,42392
314292,179,16,342,26,189,36977
1308385,136,8,169,6,14,39720
1795025,619,13,409,14,39,39974
49040304,103,0,841,9,55,39153
9105,7676,14,887,18,109,38216
261654,29,5,72,5,10,37726
238811,117,7,159,6,7,36476
30505250,52,10,182,6,42,37273
22999784,288,3,215,13,6,40659
9549,2914,27,678,58,90,41422
61145,670,195,729,16,92,40454
8455187,301,9,172,6,11,38471
46217753,798,22,515,9,16,39294
27235473,33,18,84,2,13,40577
1700717,98,9,108,23,149,37464
565730,196,13,408,44,99,42253
8498162,22,7,548,6,11,37961
1775833,575,11,482,19,101,40611
36623,985,73,1079,55,99,41546
660931,591,7,559,37,24,37401
42646393,21,20,245,22,99,38679
1577801,260,80,400,7,38,39241
204706,600,8,793,39,101,37955
9543863,53,5,122,8,11,42636
489133,401,13,453,24,22,40444
40457153,1,0,79,9,2,37175
387623,440,24,522,15,87,37934
15300612,234,6,338,7,112,39631
15271,566,3,152,11,55,39272
5240186,8,2,36,18,8,37607
